Video_Views,Comment/View,Like/View,Seconds,Category,Length
8426533,0.9047611870742096,25.990997721126828,61,1,0-5
4697790,1.2771962986851264,21.999706244851303,99,1,0-5
4685040,1.7602837969366325,25.96071751788672,221,1,0-5
2534119,8.934465982063195,56.008814108571855,284,1,0-5
2011006,19.3251536793028,93.68395718361856,275,1,0-5
1417089,6.881007473771937,54.11868979294879,114,1,0-5
5551252,0.5629360727994334,19.491639003237463,97,1,0-5
15949712,3.686586942761098,50.60386043334199,127,1,0-5
1799265,1.5828685602176444,30.81536071673711,299,1,0-5
3092896,1.6783622857024614,30.374445180180647,286,1,0-5
7968220,0.6212177876614853,18.44577584454245,87,1,0-5
4159536,1.0085259509714546,21.075427643852585,127,1,0-5
11947233,2.152297523619067,20.22292525809114,226,1,0-5
6962369,0.510171178804226,23.26076081287849,72,1,0-5
1440377,1.9467125620584056,32.201986007829895,110,1,0-5
153981924,0.5182426477539013,11.993264871791055,66,1,0-5
1649339,1.0610311161016626,30.993628356571936,299,1,0-5
9681796,3.0558379870842147,31.333132819571905,267,1,0-5
1759635,2.098730702674134,31.34627351695096,121,1,0-5
5157641,8.254936704590335,44.89339215350584,90,1,0-5
1335484,1.836038469947974,32.84277460456284,115,1,0-5
1594613,4.009123216730329,39.86296361562335,168,1,0-5
13462537,0.946552644572119,17.27809550309871,293,1,0-5
32292977,3.154679731137826,22.259545782973184,202,1,0-5
6014847,0.6015115596456568,20.34316084848044,115,1,0-5
6397029,3.8624180068591216,38.01280250566317,298,1,0-5
18757434,0.6077057235014128,20.03845515330082,115,1,0-5
1386633,1.4207075700636,29.99351666951529,253,1,0-5
1547018,1.453118192548503,32.376481721608926,116,1,0-5
4222329,0.7839275433060758,22.184912639446143,126,1,0-5
4868881,2.8622593158469063,29.31084164924137,294,1,0-5
9178999,0.7857065895747456,14.972547660153356,297,1,0-5
1280011,3.1163794686139417,44.80430246302571,48,1,0-5
3788745,4.054112905460779,29.52455232537424,228,1,0-5
7374337,0.8644844953519212,18.15376758615724,124,1,0-5
1435582,3.6340661836105497,43.30438804610256,43,1,0-5
1861405,1.359725583631719,31.156572588985203,298,1,0-5
13981205,3.236630891257227,30.246105396494794,283,1,0-5
2104030,3.3944382922296734,48.24931203452422,66,1,0-5
711179,4.962182516637864,58.753140911078646,58,1,0-5
1219075,5.258085023480918,61.47693948280459,95,1,0-5
1380095,1.290490872005188,35.262789880406785,108,1,0-5
4415959,0.8419462227796952,20.05408111805386,126,1,0-5
13769970,3.3249890885746303,29.74850344626749,137,1,0-5
1472008,12.65074646333444,77.57702403791284,232,1,0-5
